coluna;label_coluna;valor;label_valor
QUEST;Número de identificação do questionário;;
ID_DOMICILIO;Número de identificação do domicílio;;
COD_UF;UF (listagem  com código do IBGE);11.0;RONDÔNIA
COD_UF;UF (listagem  com código do IBGE);12.0;ACRE
COD_UF;UF (listagem  com código do IBGE);13.0;AMAZONAS
COD_UF;UF (listagem  com código do IBGE);14.0;RORAIMA
COD_UF;UF (listagem  com código do IBGE);15.0;PARÁ
COD_UF;UF (listagem  com código do IBGE);16.0;AMAPÁ
COD_UF;UF (listagem  com código do IBGE);17.0;TOCANTINS
COD_UF;UF (listagem  com código do IBGE);21.0;MARANHÃO
COD_UF;UF (listagem  com código do IBGE);22.0;PIAUÍ
COD_UF;UF (listagem  com código do IBGE);23.0;CEARÁ
COD_UF;UF (listagem  com código do IBGE);24.0;RIO GRANDE DO NORTE
COD_UF;UF (listagem  com código do IBGE);25.0;PARAÍBA
COD_UF;UF (listagem  com código do IBGE);26.0;PERNAMBUCO
COD_UF;UF (listagem  com código do IBGE);27.0;ALAGOAS
COD_UF;UF (listagem  com código do IBGE);28.0;SERGIPE
COD_UF;UF (listagem  com código do IBGE);29.0;BAHIA
COD_UF;UF (listagem  com código do IBGE);31.0;MINAS GERAIS
COD_UF;UF (listagem  com código do IBGE);32.0;ESPIRITO SANTO
COD_UF;UF (listagem  com código do IBGE);33.0;RIO DE JANEIRO
COD_UF;UF (listagem  com código do IBGE);35.0;SÃO PAULO
COD_UF;UF (listagem  com código do IBGE);41.0;PARANÁ
COD_UF;UF (listagem  com código do IBGE);42.0;SANTA CATARINA
COD_UF;UF (listagem  com código do IBGE);43.0;RIO GRANDE DO SUL
COD_UF;UF (listagem  com código do IBGE);50.0;MATO GROSSO DO SUL
COD_UF;UF (listagem  com código do IBGE);51.0;MATO GROSSO
COD_UF;UF (listagem  com código do IBGE);52.0;GOIÁS
COD_UF;UF (listagem  com código do IBGE);53.0;DISTRITO FEDERAL
AREA;Área;1.0;URBANA
AREA;Área;2.0;RURAL
RENDA_FAMILIAR;Renda familiar;1.0;Até 1 SM
RENDA_FAMILIAR;Renda familiar;2.0;Mais de 1 SM até 2 SM
RENDA_FAMILIAR;Renda familiar;3.0;Mais de 2 SM até 3 SM
RENDA_FAMILIAR;Renda familiar;4.0;Mais de 3 SM até 5 SM
RENDA_FAMILIAR;Renda familiar;5.0;Mais de 5 SM até 10 SM
RENDA_FAMILIAR;Renda familiar;6.0;Mais de 10 SM até 20 SM
RENDA_FAMILIAR;Renda familiar;7.0;Mais de 20 SM até 30 SM
RENDA_FAMILIAR;Renda familiar;8.0;Mais de 30 SM
RENDA_FAMILIAR;Renda familiar;9.0;Não tem renda
RENDA_FAMILIAR;Renda familiar;97.0;Não sabe
RENDA_FAMILIAR;Renda familiar;98.0;Não respondeu
TV;No domicílio tem televisor em cores? Quantos?;0.0;Não tem
TV;No domicílio tem televisor em cores? Quantos?;4.0;4 ou mais
RADIO;No domicílio tem rádio? Considere todos os rádios da casa, incluindo os rádios de aparelhos de som, de walkman. Não considerar rádio de automóveis. Quantos?;0.0;Não tem
RADIO;No domicílio tem rádio? Considere todos os rádios da casa, incluindo os rádios de aparelhos de som, de walkman. Não considerar rádio de automóveis. Quantos?;4.0;4 ou mais
BANHEIRO;No domicílio tem banheiros, incluindo todos os banheiros do domicílio, inclusive o de empregada? Quantos?;0.0;Não tem
BANHEIRO;No domicílio tem banheiros, incluindo todos os banheiros do domicílio, inclusive o de empregada? Quantos?;4.0;4 ou mais
AUTOMOVEL;No domicílio tem automóveis de passeio? Não considerar caminhões e veículos usados como taxi ou vans, kombis e caminhonetes utilizadas para uso profissional. Quantos?;0.0;Não tem
AUTOMOVEL;No domicílio tem automóveis de passeio? Não considerar caminhões e veículos usados como taxi ou vans, kombis e caminhonetes utilizadas para uso profissional. Quantos?;4.0;4 ou mais
EMPREGADA;No domicílio tem empregada doméstica ou outros empregados da casa que trabalhem pelo menos 5 dias na semana. Quantos?;0.0;Não tem
EMPREGADA;No domicílio tem empregada doméstica ou outros empregados da casa que trabalhem pelo menos 5 dias na semana. Quantos?;4.0;4 ou mais
LAVA_ROUPA;"No domicílio tem máquina de lavar roupa do tipo que executa todo o processo de lavagem, desde o molho até a centrifugação. Não considerar o tipo ""tanquinho"". Quantos?";0.0;Não tem
LAVA_ROUPA;"No domicílio tem máquina de lavar roupa do tipo que executa todo o processo de lavagem, desde o molho até a centrifugação. Não considerar o tipo ""tanquinho"". Quantos?";4.0;4 ou mais
GELADEIRA;"No domicílio tem geladeira simples ou do tipo ""duplex"". Quantas?";0.0;Não tem
GELADEIRA;"No domicílio tem geladeira simples ou do tipo ""duplex"". Quantas?";4.0;4 ou mais
FREEZER;"No domicílio tem freezer independente ou aquele que faz parte da geladeira, do tipo ""duplex"". Quantos?";0.0;Não tem
FREEZER;"No domicílio tem freezer independente ou aquele que faz parte da geladeira, do tipo ""duplex"". Quantos?";4.0;4 ou mais
LAVA_LOUCA;No domicílio tem máquina lava-louças? Quantas?;0.0;Não tem
LAVA_LOUCA;No domicílio tem máquina lava-louças? Quantas?;4.0;4 ou mais
DVD;No domicílio tem DVD, incluindo outros aparelhos que reproduzem DVD, como videogames, computadores e notebooks, inclusive nos formatos mais modernos. Não considere DVD de carro? Quantos?;0.0;Não tem
DVD;No domicílio tem DVD, incluindo outros aparelhos que reproduzem DVD, como videogames, computadores e notebooks, inclusive nos formatos mais modernos. Não considere DVD de carro? Quantos?;4.0;4 ou mais
MICRO_ONDAS;No domicílio tem microondas? Quantos?;0.0;Não tem
MICRO_ONDAS;No domicílio tem microondas? Quantos?;4.0;4 ou mais
MOTOCICLETA;No domicílio tem motocicleta? Seja de uso exclusivo para passeio ou uso misto (trabalho e passeio). Não considerar somente trabalho. Quantas?;0.0;Não tem
MOTOCICLETA;No domicílio tem motocicleta? Seja de uso exclusivo para passeio ou uso misto (trabalho e passeio). Não considerar somente trabalho. Quantas?;4.0;4 ou mais
SECADORA;No domicílio tem secadora de roupas? Quantas?;0.0;Não tem
SECADORA;No domicílio tem secadora de roupas? Quantas?;4.0;4 ou mais
TELEFONE_FIXO;No domicílio tem telefone fixo (não o aparelho, mas a linha telefônica)?;0.0;Não tem
TELEFONE_FIXO;No domicílio tem telefone fixo (não o aparelho, mas a linha telefônica)?;1.0;Tem
VIDEOGAME;No domicílio tem aparelho de jogo ou vídeo game, Playstation, Nintendo Wii, Xbox?;0.0;Não tem
VIDEOGAME;No domicílio tem aparelho de jogo ou vídeo game, Playstation, Nintendo Wii, Xbox?;1.0;Tem
TV_ASSINATURA;No domicílio tem tv por assinatura (a Cabo, Satélite etc.)?;0.0;Não tem
TV_ASSINATURA;No domicílio tem tv por assinatura (a Cabo, Satélite etc.)?;1.0;Tem
ANTENA_PARABOLICA;No domicílio tem antena parabólica?;0.0;Não tem
ANTENA_PARABOLICA;No domicílio tem antena parabólica?;1.0;Tem
AGUA;Tipo de abastecimento de água;1.0;Rede geral de distribuição
AGUA;Tipo de abastecimento de água;2.0;Poço ou nascente
AGUA;Tipo de abastecimento de água;3.0;Outro meio
RUA;Tipo de pavimentação da rua;1.0;Asfaltada/Pavimentada
RUA;Tipo de pavimentação da rua;2.0;Terra/Cascalho
GRAU_INSTRUCAO;Até que ano de escola o responsável pelo domicílio cursou?;1.0;Analfabeto/ até 3ª Série Fundamental
GRAU_INSTRUCAO;Até que ano de escola o responsável pelo domicílio cursou?;2.0;4ª a 7ª Série Fundamental
GRAU_INSTRUCAO;Até que ano de escola o responsável pelo domicílio cursou?;3.0;Fundamental completo/ Médio incompleto
GRAU_INSTRUCAO;Até que ano de escola o responsável pelo domicílio cursou?;4.0;Médio completo/ Superior incompleto
GRAU_INSTRUCAO;Até que ano de escola o responsável pelo domicílio cursou?;5.0;Superior completo
PNADC_RD_A;Nos últimos três meses, alguma pessoa desse domicílio recebeu rendimentos de Benefício Assistencial de Prestação Continuada ou BPC-LOAS?;0.0;Não
PNADC_RD_A;Nos últimos três meses, alguma pessoa desse domicílio recebeu rendimentos de Benefício Assistencial de Prestação Continuada ou BPC-LOAS?;1.0;Sim
PNADC_RD_A;Nos últimos três meses, alguma pessoa desse domicílio recebeu rendimentos de Benefício Assistencial de Prestação Continuada ou BPC-LOAS?;97.0;Não sabe
PNADC_RD_A;Nos últimos três meses, alguma pessoa desse domicílio recebeu rendimentos de Benefício Assistencial de Prestação Continuada ou BPC-LOAS?;98.0;Não respondeu
PNADC_RD_B;Nos últimos três meses, alguma pessoa desse domicílio recebeu rendimentos de Programa Bolsa Família ou Auxílio Brasil?;0.0;Não
PNADC_RD_B;Nos últimos três meses, alguma pessoa desse domicílio recebeu rendimentos de Programa Bolsa Família ou Auxílio Brasil?;1.0;Sim
PNADC_RD_B;Nos últimos três meses, alguma pessoa desse domicílio recebeu rendimentos de Programa Bolsa Família ou Auxílio Brasil?;97.0;Não sabe
PNADC_RD_B;Nos últimos três meses, alguma pessoa desse domicílio recebeu rendimentos de Programa Bolsa Família ou Auxílio Brasil?;98.0;Não respondeu
A1_A;Neste domicílio tem Computador de mesa?;0.0;Não
A1_A;Neste domicílio tem Computador de mesa?;1.0;Sim
A1_A;Neste domicílio tem Computador de mesa?;97.0;Não sabe
A1_A;Neste domicílio tem Computador de mesa?;98.0;Não respondeu
A1_B;Neste domicílio tem notebook?;0.0;Não
A1_B;Neste domicílio tem notebook?;1.0;Sim
A1_B;Neste domicílio tem notebook?;97.0;Não sabe
A1_B;Neste domicílio tem notebook?;98.0;Não respondeu
A1_C;Neste domicílio tem Tablet?;0.0;Não
A1_C;Neste domicílio tem Tablet?;1.0;Sim
A1_C;Neste domicílio tem Tablet?;97.0;Não sabe
A1_C;Neste domicílio tem Tablet?;98.0;Não respondeu
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;1.0;Um
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;2.0;Dois
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;3.0;Três
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;4.0;Quatro
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;5.0;Cinco
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;6.0;Seis
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;7.0;Sete
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;8.0;Oito
A2_QTD_DESK;Quantos computadores de mesa têm neste domicílio?;999999999.0;Não se aplica
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;1.0;Um
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;2.0;Dois
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;3.0;Três
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;4.0;Quatro
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;5.0;Cinco
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;6.0;Seis
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;7.0;Sete
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;8.0;Oito
A2_QTD_NOTE;Quantos notebooks têm neste domicílio?;999999999.0;Não se aplica
A2_QTD_TAB;Quantos tablets têm neste domicílio?;1.0;Um
A2_QTD_TAB;Quantos tablets têm neste domicílio?;2.0;Dois
A2_QTD_TAB;Quantos tablets têm neste domicílio?;3.0;Três
A2_QTD_TAB;Quantos tablets têm neste domicílio?;4.0;Quatro
A2_QTD_TAB;Quantos tablets têm neste domicílio?;5.0;Cinco
A2_QTD_TAB;Quantos tablets têm neste domicílio?;6.0;Seis
A2_QTD_TAB;Quantos tablets têm neste domicílio?;7.0;Sete
A2_QTD_TAB;Quantos tablets têm neste domicílio?;8.0;Oito
A2_QTD_TAB;Quantos tablets têm neste domicílio?;999999999.0;Não se aplica
A4;Este domicílio tem acesso à Internet?;0.0;Não
A4;Este domicílio tem acesso à Internet?;1.0;Sim
A4;Este domicílio tem acesso à Internet?;97.0;Não sabe
A4;Este domicílio tem acesso à Internet?;98.0;Não respondeu
A5_A;O domicílio não tem acesso à Internet, por falta de computador no domicílio?;0.0;Não
A5_A;O domicílio não tem acesso à Internet, por falta de computador no domicílio?;1.0;Sim
A5_A;O domicílio não tem acesso à Internet, por falta de computador no domicílio?;97.0;Não sabe
A5_A;O domicílio não tem acesso à Internet, por falta de computador no domicílio?;98.0;Não respondeu
A5_A;O domicílio não tem acesso à Internet, por falta de computador no domicílio?;99.0;Não se aplica
A5_B;O domicílio não tem acesso à Internet, por falta de necessidade dos moradores?;0.0;Não
A5_B;O domicílio não tem acesso à Internet, por falta de necessidade dos moradores?;1.0;Sim
A5_B;O domicílio não tem acesso à Internet, por falta de necessidade dos moradores?;97.0;Não sabe
A5_B;O domicílio não tem acesso à Internet, por falta de necessidade dos moradores?;98.0;Não respondeu
A5_B;O domicílio não tem acesso à Internet, por falta de necessidade dos moradores?;99.0;Não se aplica
A5_C;O domicílio não tem acesso à Internet, por falta de interesse dos moradores?;0.0;Não
A5_C;O domicílio não tem acesso à Internet, por falta de interesse dos moradores?;1.0;Sim
A5_C;O domicílio não tem acesso à Internet, por falta de interesse dos moradores?;97.0;Não sabe
A5_C;O domicílio não tem acesso à Internet, por falta de interesse dos moradores?;98.0;Não respondeu
A5_C;O domicílio não tem acesso à Internet, por falta de interesse dos moradores?;99.0;Não se aplica
A5_D;O domicílio não tem acesso à Internet, porque os moradores têm acesso à Internet em outro lugar?;0.0;Não
A5_D;O domicílio não tem acesso à Internet, porque os moradores têm acesso à Internet em outro lugar?;1.0;Sim
A5_D;O domicílio não tem acesso à Internet, porque os moradores têm acesso à Internet em outro lugar?;97.0;Não sabe
A5_D;O domicílio não tem acesso à Internet, porque os moradores têm acesso à Internet em outro lugar?;98.0;Não respondeu
A5_D;O domicílio não tem acesso à Internet, porque os moradores têm acesso à Internet em outro lugar?;99.0;Não se aplica
A5_E;O domicílio não tem acesso à Internet, porque os moradores acham muito caro?;0.0;Não
A5_E;O domicílio não tem acesso à Internet, porque os moradores acham muito caro?;1.0;Sim
A5_E;O domicílio não tem acesso à Internet, porque os moradores acham muito caro?;97.0;Não sabe
A5_E;O domicílio não tem acesso à Internet, porque os moradores acham muito caro?;98.0;Não respondeu
A5_E;O domicílio não tem acesso à Internet, porque os moradores acham muito caro?;99.0;Não se aplica
A5_F;O domicílio não tem acesso à Internet, porque os moradores não sabem usar Internet?;0.0;Não
A5_F;O domicílio não tem acesso à Internet, porque os moradores não sabem usar Internet?;1.0;Sim
A5_F;O domicílio não tem acesso à Internet, porque os moradores não sabem usar Internet?;97.0;Não sabe
A5_F;O domicílio não tem acesso à Internet, porque os moradores não sabem usar Internet?;98.0;Não respondeu
A5_F;O domicílio não tem acesso à Internet, porque os moradores não sabem usar Internet?;99.0;Não se aplica
A5_G;O domicílio não tem acesso à Internet, por falta de disponibilidade de Internet na região do domicílio?;0.0;Não
A5_G;O domicílio não tem acesso à Internet, por falta de disponibilidade de Internet na região do domicílio?;1.0;Sim
A5_G;O domicílio não tem acesso à Internet, por falta de disponibilidade de Internet na região do domicílio?;97.0;Não sabe
A5_G;O domicílio não tem acesso à Internet, por falta de disponibilidade de Internet na região do domicílio?;98.0;Não respondeu
A5_G;O domicílio não tem acesso à Internet, por falta de disponibilidade de Internet na região do domicílio?;99.0;Não se aplica
A5_H;O domicílio não tem acesso à Internet, porque os moradores têm preocupações com segurança ou privacidade?;0.0;Não
A5_H;O domicílio não tem acesso à Internet, porque os moradores têm preocupações com segurança ou privacidade?;1.0;Sim
A5_H;O domicílio não tem acesso à Internet, porque os moradores têm preocupações com segurança ou privacidade?;97.0;Não sabe
A5_H;O domicílio não tem acesso à Internet, porque os moradores têm preocupações com segurança ou privacidade?;98.0;Não respondeu
A5_H;O domicílio não tem acesso à Internet, porque os moradores têm preocupações com segurança ou privacidade?;99.0;Não se aplica
A5_I;O domicílio não tem acesso à Internet, porque os moradores evitam o contato com conteúdo perigoso?;0.0;Não
A5_I;O domicílio não tem acesso à Internet, porque os moradores evitam o contato com conteúdo perigoso?;1.0;Sim
A5_I;O domicílio não tem acesso à Internet, porque os moradores evitam o contato com conteúdo perigoso?;97.0;Não sabe
A5_I;O domicílio não tem acesso à Internet, porque os moradores evitam o contato com conteúdo perigoso?;98.0;Não respondeu
A5_I;O domicílio não tem acesso à Internet, porque os moradores evitam o contato com conteúdo perigoso?;99.0;Não se aplica
A5_OUTRO;O domicílio não tem acesso à Internet, por outro motivo?;0.0;Não
A5_OUTRO;O domicílio não tem acesso à Internet, por outro motivo?;1.0;Sim
A5_OUTRO;O domicílio não tem acesso à Internet, por outro motivo?;99.0;Não se aplica
A5A;E qual desses motivos é o principal?;1.0;Por falta de computador no domicílio
A5A;E qual desses motivos é o principal?;2.0;Por falta de necessidade dos moradores
A5A;E qual desses motivos é o principal?;3.0;Por falta de interesse dos moradores
A5A;E qual desses motivos é o principal?;4.0;Porque os moradores têm acesso à Internet em outro lugar
A5A;E qual desses motivos é o principal?;5.0;Porque os moradores acham muito caro
A5A;E qual desses motivos é o principal?;6.0;Porque os moradores não sabem usar Internet
A5A;E qual desses motivos é o principal?;7.0;Por falta de disponibilidade de Internet na região do domicílio
A5A;E qual desses motivos é o principal?;8.0;Porque os moradores têm preocupações com segurança ou privacidade
A5A;E qual desses motivos é o principal?;9.0;Porque os moradores evitam o contato com conteúdo perigoso
A5A;E qual desses motivos é o principal?;10.0;Outro motivo
A5A;E qual desses motivos é o principal?;97.0;Não sabe
A5A;E qual desses motivos é o principal?;98.0;Não respondeu
A5A;E qual desses motivos é o principal?;99.0;Não se aplica
A7A;Neste domicílio tem Wi-Fi?;0.0;Não
A7A;Neste domicílio tem Wi-Fi?;1.0;Sim
A7A;Neste domicílio tem Wi-Fi?;97.0;Não sabe
A7A;Neste domicílio tem Wi-Fi?;98.0;Não respondeu
A7A;Neste domicílio tem Wi-Fi?;99.0;Não se aplica
A7D;Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone celular, televisão ou outro equipamento?;0.0;Não
A7D;Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone celular, televisão ou outro equipamento?;1.0;Sim
A7D;Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone celular, televisão ou outro equipamento?;97.0;Não sabe
A7D;Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone celular, televisão ou outro equipamento?;98.0;Não respondeu
A7D;Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone celular, televisão ou outro equipamento?;99.0;Não se aplica
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;1.0;Conexão discada, que deixa a linha de telefone ocupada durante o uso
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;2.0;Conexão DSL, via linha telefônica, que não deixa a linha ocupada durante o uso
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;3.0;Conexão via cabo de TV ou fibra ótica
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;4.0;Conexão via sinal de Rádio
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;5.0;Conexão via sinal de Satélite
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;6.0;Conexão móvel via modem ou chip 3G ou 4G
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;97.0;Não sabe
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;98.0;Não respondeu
A7;Qual o principal tipo de conexão utilizado para acessar a Internet no domicílio?;99.0;Não se aplica
A7C;Essa conexão via rede móvel 3G, 4G ou 5G é acessada por meio de;1.0;Um telefone celular
A7C;Essa conexão via rede móvel 3G, 4G ou 5G é acessada por meio de;2.0;Um modem USB conectado diretamente no computador ou um aparelho modem ligado na tomada
A7C;Essa conexão via rede móvel 3G, 4G ou 5G é acessada por meio de;3.0;Outro equipamento
A7C;Essa conexão via rede móvel 3G, 4G ou 5G é acessada por meio de;97.0;Não sabe
A7C;Essa conexão via rede móvel 3G, 4G ou 5G é acessada por meio de;98.0;Não respondeu
A7C;Essa conexão via rede móvel 3G, 4G ou 5G é acessada por meio de;99.0;Não se aplica
A7B;A Internet utilizada neste domicilio é utilizada também em algum domicílio vizinho?;0.0;Não
A7B;A Internet utilizada neste domicilio é utilizada também em algum domicílio vizinho?;1.0;Sim
A7B;A Internet utilizada neste domicilio é utilizada também em algum domicílio vizinho?;97.0;Não sabe
A7B;A Internet utilizada neste domicilio é utilizada também em algum domicílio vizinho?;98.0;Não respondeu
A7B;A Internet utilizada neste domicilio é utilizada também em algum domicílio vizinho?;99.0;Não se aplica
